state,year_month,month,season,pm25_mean,no2_mean,ozone_mean,stations_pm25,stations_no2,stations_ozone
Arizona,2023-01,1,0,10.6975,16.7555,0.0251,13,9,30
Arizona,2023-02,2,0,7.091,13.8088,0.0323,13,9,30
Arizona,2023-03,3,1,6.013,13.094,0.0332,13,9,30
Arizona,2023-04,4,1,7.6785,13.0316,0.0427,13,9,30
Arizona,2023-05,5,1,5.9518,9.2148,0.0443,13,9,30
Arizona,2023-06,6,2,6.0988,10.3421,0.0442,13,9,31
Arizona,2023-07,7,2,7.3795,8.5021,0.0434,13,9,31
Arizona,2023-08,8,2,5.464,8.4633,0.0409,13,9,31
Arizona,2023-09,9,3,5.6212,11.4452,0.0325,13,9,31
Arizona,2023-10,10,3,7.9085,14.2671,0.0345,13,9,31
Arizona,2023-11,11,3,8.9338,16.1418,0.0287,13,9,31
Arizona,2023-12,12,0,13.6283,18.9304,0.0217,13,9,30
Arizona,2024-01,1,0,72.6524,24.219,0.0223,12,9,29
California,2023-01,1,0,6.5735,12.0523,0.0232,29,33,33
California,2023-02,2,0,7.3697,13.4366,0.0262,29,33,33
California,2023-03,3,1,5.8638,8.8894,0.031,29,33,33
California,2023-04,4,1,8.2396,8.6038,0.0359,29,33,33
California,2023-05,5,1,6.6225,5.9964,0.0341,29,33,33
California,2023-06,6,2,6.7575,6.0563,0.0328,29,33,33
California,2023-07,7,2,9.7169,8.1641,0.0339,28,33,33
California,2023-08,8,2,9.1259,8.4824,0.0304,29,33,33
California,2023-09,9,3,10.8286,7.9888,0.0311,29,33,32
California,2023-10,10,3,8.6231,12.1419,0.0285,28,34,33
California,2023-11,11,3,8.7331,16.2101,0.0244,28,34,33
California,2023-12,12,0,10.7155,15.7241,0.0197,29,34,33
California,2024-01,1,0,13.7374,12.9923,0.0177,22,34,33
Florida,2023-01,1,0,8.4452,12.6089,0.0275,11,7,12
Florida,2023-02,2,0,8.792,10.6627,0.0287,11,6,12
Florida,2023-03,3,1,10.098,9.983,0.0335,11,6,12
Florida,2023-04,4,1,7.5748,8.4029,0.0311,11,7,12
Florida,2023-05,5,1,7.8412,9.1884,0.0376,11,7,12
Florida,2023-06,6,2,7.2649,8.1352,0.0279,11,9,12
Florida,2023-07,7,2,10.147,7.0392,0.0221,11,8,12
Florida,2023-08,8,2,8.265,7.0777,0.0231,11,9,12
Florida,2023-09,9,3,5.9337,9.2002,0.0283,11,9,12
