station_id,state,county,latitude,longitude,avg_pm25,avg_no2,avg_ozone,aqi_cat_pm25,aqi_cat_no2,aqi_cat_ozone
040130019,Arizona,Maricopa,33.48378,-112.14256,9.6424,14.4265,0.0295,Good,Good,Good
040131003,Arizona,Maricopa,33.41018,-111.86536,6.6877,,0.0359,Good,No Data,Good
040131004,Arizona,Maricopa,33.56031,-112.06619,7.2141,,0.0329,Good,No Data,Good
040131010,Arizona,Maricopa,33.45244,-111.73327,,,0.0393,No Data,No Data,Good
040132001,Arizona,Maricopa,33.57453,-112.19193,7.3966,,0.0342,Good,No Data,Good
040132005,Arizona,Maricopa,33.70639,-111.85575,,,0.0437,No Data,No Data,Good
040133002,Arizona,Maricopa,33.45797,-112.04659,,14.1265,0.0295,No Data,Good,Good
040133003,Arizona,Maricopa,33.47968,-111.91721,,,0.032,No Data,No Data,Good
040134003,Arizona,Maricopa,33.40314,-112.07526,9.2988,,0.0284,Good,No Data,Good
040134004,Arizona,Maricopa,33.29896,-111.88426,,,0.0307,No Data,No Data,Good
040134005,Arizona,Maricopa,33.41123,-111.93471,7.3808,,0.0319,Good,No Data,Good
040134008,Arizona,Maricopa,33.82169,-112.01726,,,0.0428,No Data,No Data,Good
040134010,Arizona,Maricopa,33.63718,-112.34185,,,0.0353,No Data,No Data,Good
040134011,Arizona,Maricopa,33.36985,-112.62068,,7.9013,0.0282,No Data,Good,Good
040134020,Arizona,Maricopa,33.46173,-112.12796,,24.0672,,No Data,Good,No Data
040134021,Arizona,Maricopa,33.41046,-112.00264,7.6562,14.3873,,Good,Good,No Data
040135100,Arizona,Maricopa,33.629246,-111.676928,,,0.0346,No Data,No Data,Good
040137003,Arizona,Maricopa,33.290229,-112.160597,,,0.0397,No Data,No Data,Good
040137020,Arizona,Maricopa,33.488131,-111.855443,6.7998,,,Good,No Data,No Data
040137021,Arizona,Maricopa,33.507992,-111.755334,,,0.0388,No Data,No Data,Good
040137022,Arizona,Maricopa,33.474609,-111.805769,,,0.0392,No Data,No Data,Good
040137024,Arizona,Maricopa,33.508125,-111.83852,,,0.0359,No Data,No Data,Good
040139508,Arizona,Maricopa,33.9828,-111.79871,,,0.0473,No Data,No Data,Good
040139702,Arizona,Maricopa,33.54558,-111.60972,,,0.0361,No Data,No Data,Good
040139704,Arizona,Maricopa,33.61092,-111.72534,,,0.0373,No Data,No Data,Good
040139812,Arizona,Maricopa,33.4265,-112.11821,10.0704,,,Good,No Data,No Data
040139997,Arizona,Maricopa,33.503833,-112.095767,7.9002,12.1265,0.0329,Good,Good,Good
040190011,Arizona,Pima,32.322661,-111.038389,5.5815,,,Good,No Data,No Data
040190021,Arizona,Pima,32.174538,-110.737116,,,0.0425,No Data,No Data,Good
040191011,Arizona,Pima,32.204411,-110.878067,,7.4633,0.0348,No Data,Good,Good
040191018,Arizona,Pima,32.425261,-111.06352,,,0.0376,No Data,No Data,Good
040191020,Arizona,Pima,32.04767,-110.774357,,,0.0377,No Data,No Data,Good
040191028,Arizona,Pima,32.29515,-110.9823,6.3994,6.8625,0.0325,Good,Good,Good
